2025-01-01,38.930903,-77.022065,Ward 1,2025-01-02
2025-01-01,38.917158,-77.011673,Ward 5,2025-01-03
2025-01-01,38.910537,-77.011560,Ward 5,2025-01-03
2025-01-01,38.924993,-77.030226,Ward 1,2025-01-02
2025-01-01,38.945264,-77.027826,Ward 4,2025-01-03
2025-01-01,38.907774,-77.031164,Ward 2,2025-01-03
2025-01-01,38.894975,-76.980194,Ward 7,2025-01-03
2025-01-01,38.885175,-76.989138,Ward 6,2025-01-02
2025-01-01,38.854507,-76.990370,Ward 8,2025-01-02
2025-01-01,38.902707,-76.989577,Ward 5,2025-01-03
2025-01-01,38.903163,-76.989659,Ward 5,2025-01-02
2025-01-01,38.899192,-76.975985,Ward 5,2025-01-03
2025-01-01,38.933691,-77.033540,Ward 1,2025-01-02
2025-01-01,38.922227,-77.003723,Ward 5,2025-01-08
2025-01-02,38.883257,-76.946571,Ward 7,2025-01-03
2025-01-02,38.920455,-77.010054,Ward 5,2025-01-08
2025-01-02,38.965955,-77.035043,Ward 4,2025-01-03
2025-01-02,38.894591,-76.958199,Ward 7,2025-01-03
2025-01-02,38.946481,-77.019172,Ward 4,2025-01-10
2025-01-02,38.906652,-76.984135,Ward 5,2025-01-02
2025-01-02,38.957095,-76.998012,Ward 5,2025-03-21
2025-01-02,38.939535,-77.032149,Ward 4,2025-01-03
2025-01-02,38.911684,-77.005515,Ward 5,2025-01-08
2025-01-02,38.899153,-76.992853,Ward 6,2025-01-02
2025-01-02,38.922538,-77.002797,Ward 5,2025-01-08
2025-01-02,38.920013,-77.009685,Ward 5,2025-01-08
2025-01-02,38.931545,-77.021569,Ward 1,2025-01-02
2025-01-02,38.928603,-77.041598,Ward 1,2025-01-02
2025-01-02,38.895947,-76.977039,Ward 7,2025-01-03
2025-01-02,38.916101,-77.016242,Ward 1,2025-01-02
2025-01-02,38.885577,-76.982450,Ward 7,2025-01-03
2025-01-02,38.910935,-77.039922,Ward 2,2025-01-02
2025-01-02,38.899660,-76.975495,Ward 5,2025-01-03
2025-01-02,38.968327,-77.025759,Ward 4,2025-01-10
2025-01-02,38.952462,-77.015662,Ward 4,2025-01-10
2025-01-02,38.936883,-77.024692,Ward 4,2025-01-13
2025-01-02,38.937429,-77.028315,Ward 4,2025-01-14
2025-01-02,38.923045,-77.002738,Ward 5,2025-01-03
2025-01-02,38.909210,-76.983966,Ward 5,2025-01-03
2025-01-02,38.932579,-76.972563,Ward 5,2025-01-03
2025-01-02,38.912706,-76.984146,Ward 5,2025-01-03
2025-01-02,38.911329,-77.020659,Ward 2,2025-01-03
2025-01-02,38.922054,-77.045557,Ward 1,2025-01-03
2025-01-02,38.891389,-77.000821,Ward 6,2025-01-09
2025-01-02,38.895600,-76.977483,Ward 7,2025-01-03
2025-01-02,38.958311,-77.014075,Ward 4,2025-01-10
2025-01-02,38.904335,-76.986094,Ward 5,2025-01-03
2025-01-02,38.970232,-77.028272,Ward 4,2025-01-10
2025-01-02,38.925351,-76.985559,Ward 5,2025-01-06
2025-01-02,38.897223,-76.980967,Ward 7,2025-01-03
