38.922018,-77.035801,DOH- Department Of Health
38.881447,-77.014930,Transportation Operations Administration
38.912892,-76.984971,SWMA- Solid Waste Management Administration
38.949738,-77.029701,311- Call Center
38.930786,-77.039844,SWMA- Solid Waste Management Admistration
38.927654,-76.993440,Transportation Operations Administration
38.963614,-77.021374,SNOW
38.868719,-76.981354,311- Call Center
38.918998,-77.044257,PEMA- Parking Enforcement Management Administration
38.895509,-76.918124,Toa-Trans Sys Mnt-Signs
38.929831,-77.039131,SWMA- Solid Waste Management Admistration
38.930923,-77.039129,SWMA- Solid Waste Management Admistration
38.930095,-77.038138,SWMA- Solid Waste Management Admistration
38.959894,-77.076481,Toa-Street & Bridge Maintenance
38.930544,-77.038287,SWMA- Solid Waste Management Admistration
38.930936,-77.038542,SWMA- Solid Waste Management Admistration
38.931096,-77.038641,SWMA- Solid Waste Management Admistration
38.930658,-77.037864,Urban Forrestry
38.930361,-77.037672,Urban Forrestry
38.929864,-77.037565,SWMA- Solid Waste Management Admistration
38.929864,-77.037565,SWMA- Solid Waste Management Admistration
38.928562,-77.037060,SWMA- Solid Waste Management Admistration
38.928496,-77.037517,SWMA- Solid Waste Management Admistration
38.928496,-77.037517,SWMA- Solid Waste Management Admistration
38.928356,-77.037444,SWMA- Solid Waste Management Admistration
38.927867,-77.037006,SWMA- Solid Waste Management Admistration
38.927321,-77.037328,Urban Forrestry
38.926947,-77.037570,SWMA- Solid Waste Management Admistration
38.926285,-77.036939,SWMA- Solid Waste Management Admistration
38.926086,-77.037833,SWMA- Solid Waste Management Admistration
38.924848,-77.039988,Urban Forrestry
38.924848,-77.039988,Toa-Street & Bridge Maintenance
38.922661,-77.042684,SWMA- Solid Waste Management Admistration
38.955331,-77.014297,SWMA- Solid Waste Management Admistration
38.922729,-77.042967,PEMA- Parking Enforcement Management Administration
38.922007,-77.043645,Urban Forrestry
38.921488,-77.043834,SWMA- Solid Waste Management Admistration
38.919664,-77.044398,SWMA- Solid Waste Management Admistration
38.918867,-77.045245,SWMA- Solid Waste Management Admistration
38.918126,-77.044996,Toa-Trans Sys Mnt-Signs
38.917757,-77.045877,Toa-Trans Sys Mnt-Signs
38.917349,-77.045540,Toa-Trans Sys Mnt-Signs
38.917390,-77.046169,Urban Forrestry
38.917390,-77.046169,SWMA- Solid Waste Management Admistration
38.917148,-77.046491,SWMA- Solid Waste Management Admistration
38.916464,-77.045237,SWMA- Solid Waste Management Admistration
38.915487,-77.045994,SWMA- Solid Waste Management Admistration
38.914084,-77.046019,Toa-Trans Sys Mnt-Signs
38.947450,-76.989538,Transportation Operations Administration
